hours,Mcc,R1,R2
1.0,793.6359953132915,986.8409076389839,820.5813975267473
2.0,793.635989050631,829.3082778436155,772.4810564149033
3.0,652.7034043057232,666.3270001273523,652.1309182370503
4.0,575.0039648207289,588.548394632774,600.8423733208588
5.0,554.0142092379517,556.8101755080575,584.2513231411914
6.0,570.0040897856835,578.8227873319157,590.4820317754514
7.0,793.6360023064057,929.9959686925395,844.1126399717448
8.0,1107.1283131842952,1205.3,1114.9469932525246
9.0,1326.9211776373668,1409.3798882981232,1266.5589400977278
10.0,1326.921164353042,1423.7070848716037,1291.7263755683605
11.0,1326.921138791034,1444.5671156431033,1291.2181036878205
12.0,1326.9211577718888,1443.6125924949959,1288.4254684272546
13.0,1326.92118180625,1498.0433097978653,1306.5445192488596
14.0,1326.9211357885224,1521.4115835360476,1326.794256142663
15.0,1326.921194860094,1466.7714104667268,1298.6467759822674
16.0,1326.9211903977634,1458.981554244693,1293.997367711917
17.0,1394.9947284015968,1613.1611940896255,1405.146363388786
18.0,1418.3829889090937,1639.9046970731733,1431.2794418013764
19.0,1413.1571239324946,1633.0407944933288,1421.8929118595368
20.0,1326.9211671673825,1504.9303530855714,1328.1364574217696
21.0,1326.921168060861,1363.4668110656448,1273.9762280506936
22.0,1250.4711360048866,1205.3,1242.6085277859972
23.0,1003.1957432356681,1002.2965133458888,1015.6599772147505
24.0,776.3621153863113,799.751127819351,789.8205470614374
