model,congestion,resShare,costTot,costEne,costFlex,compTime
Mcc,uncongested,11.32,520.0663831382991,520.0559507168864,0.010432421412565852,1.4358501434326172
R1,uncongested,11.32,539.2315086951617,533.9630260000001,5.268482695161651,0.16163694858551025
R2,uncongested,11.32,510.5639759305401,485.5364586700001,25.027517260540968,7.955770969390869
Mcc,uncongested,22.64,438.0794987889514,438.042528412329,0.03697037662236826,1.4666521549224854
R1,uncongested,22.64,495.7060440639689,487.5931949999999,8.11284906396893,0.17999393939971925
R2,uncongested,22.64,428.4972694537791,378.1899275108787,50.30734194290316,9.230201005935669
Mcc,uncongested,33.96,362.72992280199117,362.67274529530505,0.057177506686214505,1.5562770366668701
R1,uncongested,33.96,402.91300959595344,390.743736,12.169273595953397,0.16553521156311035
R2,uncongested,33.96,357.10218647904,316.8328329975197,40.26935348151996,13.184610843658447
Mcc,uncongested,45.27,291.92476990839225,291.8088348182334,0.1159350901588147,1.5993001461029053
R1,uncongested,45.27,337.5009021279379,321.27520400000003,16.225698127937864,0.1836944341659546
R2,uncongested,45.27,288.35513097586914,257.1556264493021,31.19950452656682,11.561203002929688
Mcc,uncongested,56.59,226.23169745958106,226.0897836659288,0.1419137936521842,1.8509390354156494
R1,uncongested,56.59,270.9669296599223,250.68480699999998,20.282122659922326,0.19019012451171874
R2,uncongested,56.59,222.47448514344768,201.42795357075207,21.04653157269511,14.81278395652771
Mcc,uncongested,67.91,166.08131055567722,165.96443356424368,0.1168769914335825,2.1704118251800537
R1,uncongested,67.91,213.03304719190677,188.6945,24.338547191906795,0.1991105079650879
R2,uncongested,67.91,163.08675451504678,151.95999076469187,11.126763750355032,16.519642114639282
Mcc,uncongested,79.23,114.88566564485947,114.75890565010826,0.12675999475122285,1.750736951828003
R1,uncongested,79.23,277.4636197238913,249.06864800000005,28.39497172389126,0.19230210781097412
R2,uncongested,79.23,109.30782533781341,105.36429145870103,3.9435338791123202,16.82557702064514
