model,congestion,resShare,costTot,costEne,costFlex,compTime
Mcc,acongested,10.0,534.6566002666518,534.6243513471062,0.03224891954561832,2.0058629512786865
R1,acongested,10.0,541.2134640813922,534.4736636000001,6.739800481391993,0.17271214962005615
R2,acongested,10.0,523.2335041099082,496.2468907821792,26.986613327735107,33.42856192588806
Mcc,acongested,20.0,443.0507433162282,443.010883071999,0.03986024422913028,2.044524908065796
R1,acongested,20.0,457.06587732748795,443.7556128,13.310264527487988,0.17202193260192872
R2,acongested,20.0,431.6959714223646,384.8235587578571,46.872412664506314,39.66362690925598
Mcc,acongested,30.0,361.4882722574158,361.39982831365825,0.08844394375773909,2.1527979373931885
R1,acongested,30.0,385.3601865542545,367.4837914,17.876395154254524,0.17126704692840578
R2,acongested,30.0,354.5886886467086,314.16344925614953,40.425239390554935,42.07330918312073
Mcc,acongested,40.0,287.58174155778886,287.45598636906976,0.12575518871904134,2.1020309925079346
R1,acongested,40.0,318.3545840299983,293.1799112,25.174672829998308,0.187315411567688
R2,acongested,40.0,282.6283675268445,252.08111740013672,30.547250126706356,51.0840220451355
Mcc,acongested,50.0,221.8544826556538,221.70755461195688,0.1469280436969481,1.6814210414886475
R1,acongested,50.0,257.3109161126611,224.6907636,32.62015251266108,0.18676573753356934
R2,acongested,50.0,216.0634434729733,193.61499182602327,22.448451646950993,46.40904498100281
Mcc,acongested,60.0,165.49383361588926,165.3152178040768,0.17861581181241876,1.7454569339752197
R1,acongested,60.0,202.2783924337946,163.00751419999997,39.27087823379462,0.1916553544998169
R2,acongested,60.0,155.6434392972736,141.3402804809825,14.303158816293868,47.02946496009827
Mcc,congested,10.0,595.1308662629415,595.1257798749691,0.005086387972308011,1.9376912117004395
R1,congested,10.0,640.5815383663193,619.4881308,21.093407566319215,0.17969707012176514
R2,congested,10.0,580.5530372249368,552.6693892320794,27.883647992861494,31.38805103302002
Mcc,congested,20.0,503.9176356675276,503.8945255846383,0.023110082889369877,1.8346481323242188
R1,congested,20.0,580.6241745928531,534.2768896,46.34728499285321,0.190013747215271
R2,congested,20.0,484.16639679101684,429.97326971432256,54.19312707669548,51.159607887268066
Mcc,congested,30.0,416.4894645046845,416.4305725437657,0.058891960918877426,2.093916177749634
R1,congested,30.0,492.5272805411455,411.31050780000004,81.21677274114549,0.2190595769882202
R2,congested,30.0,396.2838508972102,330.5252182059726,65.75863269123535,45.26774215698242
Mcc,congested,40.0,333.2679401640785,333.1494785072584,0.11846165682023953,1.856247901916504
R1,congested,40.0,435.65301644585986,330.9638836,104.68913284585983,0.22521560668945312
R2,congested,40.0,313.4738534973947,258.83295534662807,54.64089815076036,49.01861596107483
Mcc,congested,50.0,256.6249567490287,256.4399415622668,0.1850151867618904,1.9776229858398438
R1,congested,50.0,378.0285907957713,243.81094140000002,134.2176493957713,0.2428946828842163
R2,congested,50.0,234.8046948909162,194.55010725904106,40.254587631878614,52.21010088920593
Mcc,congested,60.0,192.3608220270601,192.07054084861713,0.2902811784428945,2.224349021911621
R1,congested,60.0,0,0,0,0.24396940231323244
R2,congested,60.0,166.0741261634943,137.55122890126137,28.522897262235013,50.80889296531677
