model,scen,oos_cost,networkconfig
Mcc,1,221470.9682,acongested
Mcc,2,218504.1351,acongested
Mcc,3,220760.111,acongested
Mcc,4,224804.7764,acongested
Mcc,5,222002.2237,acongested
Mcc,6,225766.432,acongested
Mcc,7,222822.9999,acongested
Mcc,8,218885.5101,acongested
Mcc,9,225333.7035,acongested
Mcc,10,221781.0414,acongested
Mcc,11,222657.5999,acongested
Mcc,12,221492.4303,acongested
Mcc,13,220469.9846,acongested
Mcc,14,225800.861,acongested
Mcc,15,219258.5776,acongested
Mcc,16,223122.9318,acongested
Mcc,17,220371.5705,acongested
Mcc,18,220978.9056,acongested
Mcc,19,221733.5666,acongested
Mcc,20,220718.601,acongested
Mcc,21,219375.0646,acongested
Mcc,22,220088.1562,acongested
Mcc,23,227589.4628,acongested
Mcc,24,226936.2494,acongested
Mcc,25,218987.5547,acongested
Mcc,26,221116.75,acongested
Mcc,27,224463.1853,acongested
Mcc,28,227559.5229,acongested
Mcc,29,218746.5291,acongested
Mcc,30,218527.9195,acongested
Mcc,31,221662.0472,acongested
Mcc,32,221351.8109,acongested
Mcc,33,221876.4784,acongested
Mcc,34,228212.6375,acongested
Mcc,35,221411.5443,acongested
Mcc,36,218289.7017,acongested
Mcc,37,218997.7236,acongested
Mcc,38,222818.1069,acongested
Mcc,39,219106.8562,acongested
Mcc,40,215825.6334,acongested
Mcc,41,222972.2243,acongested
Mcc,42,221905.1744,acongested
Mcc,43,217595.0136,acongested
Mcc,44,220994.7481,acongested
Mcc,45,221454.2412,acongested
Mcc,46,224220.7898,acongested
Mcc,47,223888.8617,acongested
Mcc,48,219742.9207,acongested
Mcc,49,221368.4197,acongested
Mcc,50,218543.6536,acongested
Mcc,51,217009.3798,acongested
Mcc,52,228447.7573,acongested
Mcc,53,221327.6067,acongested
Mcc,54,220293.0288,acongested
Mcc,55,219411.931,acongested
Mcc,56,224325.6221,acongested
Mcc,57,228302.1026,acongested
Mcc,58,222154.832,acongested
Mcc,59,218964.5142,acongested
Mcc,60,223780.4744,acongested
Mcc,61,222909.2388,acongested
Mcc,62,221254.34,acongested
Mcc,63,216198.2856,acongested
